name,domain
Cedar Crest College,cedarcrest.edu
Cedarville University,cedarville.edu
Centenary College Louisiana,centenary.edu
Centenary University,centenaryuniversity.edu
Centenary University,centenaryuniversity.edu
Central Christian College Of Kansas,centralchristian.edu
Central College,central.edu
Central Connecticut State University,ccsu.edu
Central Methodist University,centralmethodist.edu
Central Michigan University,cmich.edu
Central Penn College,centralpenn.edu
Central State University,centralstate.edu
Central Washington University,cwu.edu
Centre College,centre.edu
Chadron State College,csc.edu
Chaminade University Honolulu,chaminade.edu
Champlain College,champlain.edu
Chapman University,chapman.edu
Charles R Drew University Medicine And Science,cdrewu.edu
Charleston Southern University,csuniv.edu
Charter Oak State College,charteroak.edu
Chatham University,chatham.edu
Chestnut Hill College,chc.edu
Cheyney University Of Pennsylvania,cheyney.edu
Chicago State University,csu.edu
Chipola College,chipola.edu
Chowan University,chowan.edu
Christendom College,christendom.edu
Christian Brothers University,cbu.edu
Christopher Newport University,cnu.edu
Cincinnati Christian University,ccuniversity.edu
Claflin University,claflin.edu
Claremont Mckenna College,cmc.edu
Clarion University Of Pennsylvania,clarion.edu
Clark Atlanta University,cau.edu
Clark University,clarku.edu
Clarke University,clarke.edu
Clarks Summit University,clarkssummitu.edu
Clarkson College,clarksoncollege.edu
Clarkson University,clarkson.edu
Clayton State University,clayton.edu
Clear Creek Baptist Bible College,ccbbc.edu
Cleary University,cleary.edu
Clemson University,clemson.edu
Cleveland Institute Of Music,cim.edu
Cleveland State University,csuohio.edu
Coastal Carolina University,coastal.edu
Coe College,coe.edu
Cogswell Polytechnical College,cogswell.edu
Coker College,coker.edu
Colby College,colby.edu
Colby Sawyer College,colby-sawyer.edu
Colgate University,colgate.edu
College Of Charleston,cofc.edu
College of Idaho,collegeofidaho.edu
College of Mount Saint Vincent,mountsaintvincent.edu
College Of Mount St Vincent,mountsaintvincent.edu
College of New Jersey,tcnj.edu
College of New Rochelle,cnr.edu
College Of Saint Benedict,csbsju.edu
College of Saint Elizabeth,cse.edu
College of Saint Rose,strose.edu
College Of St Mary,csm.edu
College Of Staten Island Cuny,csi.cuny.edu
College of the Atlantic Atlantic,coa.edu
College of the Holy Cross,holycross.edu
College Of The Ozarks,cofo.edu
College of William & Mary,wm.edu
College St Joseph,csj.edu
College St Scholastica,css.edu
College Wooster,wooster.edu
Colorado Christian University,ccu.edu
Colorado College,coloradocollege.edu
Colorado Mesa University,coloradomesa.edu
Colorado School Of Mines,mines.edu
Colorado State University,colostate.edu
Colorado State University Pueblo,csupueblo.edu
Columbia College,ccis.edu
Columbia College,columbiasc.edu
Columbia College Chicago,colum.edu
Columbia College Hollywood,columbiacollege.edu
Columbia International University,ciu.edu
Columbus College Of Art And Design,ccad.edu
Columbus State University,columbusstate.edu
Concord University,concord.edu
Concordia College,concordia-ny.edu
Concordia College Moorhead,cord.edu
Concordia University Chicago,CUChicago.edu
Concordia University Irvine,cui.edu
Concordia University Irvine,cui.edu
Concordia University Nebraska,cune.edu
Concordia University Portland Or,cu-portland.edu
Concordia University St Paul,csp.edu
Concordia University St Paul,csp.edu
Concordia University Texas,concordia.edu
Concordia University Wisconsin,cuw.edu
Connecticut College,conncoll.edu
Conservatory Of Music Of Puerto Rico,cmpr.edu
Converse College,converse.edu
Cooper Union Advancement Science And Art,cooper.edu
Coppin State University,coppin.edu
Corban University,corban.edu
Cornell College,cornellcollege.edu
Cornerstone University,cornerstone.edu
Cornish College Of The Arts,cornish.edu
Covenant College,covenant.edu
Creighton University,creighton.edu
Criswell College,criswell.edu
Crown College,crown.edu
Culinary Institute America Ny,culinary.edu
Culver Stockton College,culver.edu
Cumberland University,cumberland.edu
Cuny Baruch College,baruch.cuny.edu
Cuny City College,ccny.cuny.edu
Cuny Hunter College,hunter.cuny.edu
Cuny John Jay College Of Criminal Justice,jjay.cuny.edu
Cuny Lehman College,lehman.cuny.edu
Cuny Medgar Evers College,mec.cuny.edu
Cuny New York City College Of Technology,citytech.cuny.edu
Cuny Queens College,qc.cuny.edu
Cuny York College,york.cuny.edu
Curry College,curry.edu
Daemen College,daemen.edu
Dakota State University,dsu.edu
Dakota Wesleyan University,dwu.edu
Dallas Baptist University,dbu.edu
Dallas Christian College,dallas.edu
Dalton State College,daltonstate.edu
Dartmouth College,dartmouth.edu
Davenport University,davenport.edu
Davidson College,davidson.edu
Davis Elkins College,dewv.edu
Dean College,dean.edu
Dean College,dean.edu
Defiance College,defiance.edu
Delaware State University,desu.edu
Delaware Valley University,delval.edu
Delta State University,deltastate.edu
Denison University,denison.edu
Denison University,denison.edu
Depaul University,depaul.edu
Depauw University,depauw.edu
Desales University,desales.edu
Dickinson College,dickinson.edu
Dickinson State University,dickinsonstate.edu
Digipen Institute Of Technology,digipen.edu
Dillard University,dillard.edu
Dixie State University,dixie.edu
Doane University,doane.edu
Dominican College,dc.edu
Dominican University,dom.edu
Dominican University California,dominican.edu
Dordt College,dordt.edu
Doshisha University Institute Liberal Arts,mail.doshisha.ac.jp
Drake University,drake.edu
Drew University,drew.edu
Drexel University,drexel.edu
Drury University,drury.edu
Duquesne University,duq.edu
Durham University,durham.ac.uk
Dyouville College,dyc.edu
Earlham College,earlham.edu
Earlham College,earlham.edu
East Carolina University,ecu.edu
East Central University,ecok.edu
East Stroudsburg University Of Pennsylvania,esu.edu
East Tennessee State University,etsu.edu
East Texas Baptist University,etbu.edu
East West University,eastwest.edu
Eastern Connecticut State University,easternct.edu
Eastern Illinois University,eiu.edu
Eastern Kentucky University,eku.edu
Eastern Mennonite University,emu.edu
Eastern Michigan University,emich.edu
Eastern Nazarene College,enc.edu
Eastern New Mexico University,enmu.edu
Eastern Oregon University,eou.edu
Eastern University,eastern.edu
Eastern Washington University,ewu.edu
Eckerd College,eckerd.edu
Edgewood College,edgewood.edu
Edinboro University Pennsylvania,edinboro.edu
Edward Waters College,ewc.edu
Elizabeth City State University,ecsu.edu
Elizabethtown College,etown.edu
Elmhurst College,elmhurst.edu
Elmira College,elmira.edu
Elms College,elms.edu
Elon University,elon.edu
Embry Riddle Aeronautical University Daytona Beach,erau.edu
Embry Riddle Aeronautical University Prescott,erau.edu
Embry Riddle Aeronautical University Worldwide Campus,erau.edu
Emerson College,emerson.edu
Emily Carr University Of Art Design,ecuad.ca
Emmanuel College,emmanuel.edu
Emmanuel College Ga,ec.edu
Emmanuel College Ma,emmanuel.edu
Emmaus Bible College,emmaus.edu
Emory Henry College,ehc.edu
Emory University,emory.edu
Emporia State University,emporia.edu
Endicott College,endicott.edu
Erskine College,erskine.edu
Escp Europe Business School,escpeurope.eu
Eugene Lang College The New School For Liberal Arts,newschool.edu
Eureka College,eureka.edu
Evangel University,evangel.edu
Evergreen State College,evergreen.edu
Fairfield University,fairfield.edu
Fairleigh Dickinson University,fdu.edu
Fairmont State University,fairmontstate.edu
Faith Baptist Bible College And Theological Seminary,faith.edu
Fashion Institute Of Technology,fitnyc.edu
Faulkner University,faulkner.edu
Fayetteville State University,uncfsu.edu
Felician University,felician.edu
Ferris State University,ferris.edu
Ferrum College,ferrum.edu
Fisher College,fisher.edu
Fisk University,fisk.edu
Fitchburg State University,fitchburgstate.edu
Five Towns College,ftc.edu
Flagler College,flagler.edu
Flashpoint Chicago Campus Columbia College Hollywood,columbiacollege.edu
Florida Agricultural Mechanical University,famu.edu
Florida Atlantic University,fau.edu
Florida College,floridacollege.edu
Florida Gulf Coast University,fgcu.edu
Florida Institute Technology,fit.edu
Florida International University,fiu.edu
Florida Memorial University,fmuniv.edu
Florida National University,fnu.edu
Florida Polytechnic University,flpoly.org
Florida Southern College,flsouthern.edu
Florida State University,fsu.edu
Fontbonne University,fontbonne.edu
Fordham University,fordham.edu
Fort Hays State University,fhsu.edu
Fort Lewis College,fortlewis.edu
Fort Valley State University,fvsu.edu
Framingham State University,framingham.edu
Francis Marion University,fmarion.edu
Franciscan Missionaries Of Our Lady University,ololcollege.edu
Franciscan University Of Steubenville,franciscan.edu
Franklin College,franklincollege.edu
Franklin Marshall College,fandm.edu
Franklin Pierce University,franklinpierce.edu
Franklin University Switzerland,fus.edu
Franklin W Olin College Engineering,olin.edu
Freed Hardeman University,fhu.edu
Fresno Pacific University,fresno.edu
Friends University,friends.edu
Frostburg State University,frostburg.edu
Furman University,furman.edu
Gallaudet University,gallaudet.edu
Gannon University,gannon.edu
Gardner Webb University,gardner-webb.edu
George Fox University,georgefox.edu
George Mason University,gmu.edu
George Washington University,gwu.edu
Georgetown College,georgetowncollege.edu
Georgetown University,georgetown.edu
Georgia College,gcsu.edu
Georgia Gwinnett College,ggc.edu
Georgia Southern University Armstrong And Liberty Campuses,georgiasouthern.edu
Georgia Southwestern State University,gsw.edu
Georgia State University,gsu.edu
Georgian Court University,georgian.edu
Gettysburg College,gettysburg.edu
Glenville State College,glenville.edu
Goddard College,goddard.edu
Goldey Beacom College,gbc.edu
Goldfarb School Of Nursing At Barnes Jewish College,bjc.org
Gonzaga University,gonzaga.edu
Gordon College,gordon.edu
Gordon State College,gordonstate.edu
Goshen College,goshen.edu
Goucher College,goucher.edu
Governors State University,govst.edu
Grace Bible College,gbcol.edu
Grace College Seminary,grace.edu
Graceland University,graceland.edu
Grambling State University,gram.edu
Grand Canyon University,gcu.edu
Grand Valley State University,gvsu.edu
Grand View University,grandview.edu
Granite State College,granite.edu
Great Basin College,gbcnv.edu
Green Mountain College,greenmtn.edu
Greensboro College,greensboro.edu
Greenville University,greenville.edu
Grinnell College,grinnell.edu
Grove City College,gcc.edu
Guilford College,guilford.edu
Gustavus Adolphus College,gustavus.edu
Gwynedd Mercy University,gmercyu.edu
Hamilton College,hamilton.edu
Hamline University Mn,hamline.edu
Hampden Sydney College,hsc.edu
Hampden Sydney College,hsc.edu
Hampshire College,hampshire.edu
Hampton University,hamptonu.edu
Hannibal Lagrange University,hlg.edu
Hanover College,hanover.edu
Hardin Simmons University,hsutx.edu
Harding University,harding.edu
Harris Stowe State University,hssu.edu
Harrisburg University Science And Technology,HarrisburgU.edu
Hartwick College,hartwick.edu
Harvard College,fas.harvard.edu
Harvey Mudd College,hmc.edu
Hastings College,hastings.edu
Haverford College,haverford.edu
Hawaii Pacific University,hpu.edu
Heidelberg University,heidelberg.edu
Hellenic College,hchc.edu
Henderson State University,hsu.edu
Hendrix College,hendrix.edu
High Point University,highpoint.edu
Hilbert College,hilbert.edu
Hillsdale College,hillsdale.edu
Hiram College,hiram.edu
Hobart And William Smith Colleges,hws.edu
Hodges University,hodges.edu
Hofstra University,hofstra.edu
Hollins University,hollins.edu
Holy Cross College,hcc-nd.edu
Holy Family University,holyfamily.edu
Holy Names University,hnu.edu
Hood College,hood.edu
Hood College,hood.edu
Hope College,hope.edu
Houghton College,houghton.edu
Houston Baptist University,hbu.edu
Howard Payne University,hputx.edu
Howard University,howard.edu
Hult International Business School,hult.edu
Humboldt State University,humboldt.edu
Huntingdon College,hawks.huntingdon.edu
Huntingdon College Of Health Sciences,hchs.edu
Huntington University,huntington.edu
Husson University,husson.edu
Huston Tillotson University,htu.edu
Idaho State University,isu.edu
Ie University,ie.edu
Illinois College,mail.ic.edu
Illinois Institute Technology,iit.edu
Illinois State University,illinoisstate.edu
Illinois Wesleyan University,iwu.edu
Immaculata University,immaculata.edu
Indiana Institute Of Technology,indianatech.edu
Indiana State University,indstate.edu
Indiana University Bloomington,indiana.edu
Indiana University East,iue.edu
Indiana University Kokomo,iuk.edu
Indiana University Northwest,iun.edu
Indiana University Of Pennsylvania,iup.edu
Indiana University South Bend,iusb.edu
Indiana University Southeast,ius.edu
Indiana Wesleyan University,indwes.edu
Institute Of American Indian Arts,iaia.edu
Inter American University Of Puerto Rico Aguadilla,aguadilla.inter.edu
Inter American University Of Puerto Rico Fajardo,fajardo.inter.edu
Inter American University Of Puerto Rico Guayama,guayama.inter.edu
Inter American University Of Puerto Rico Ponce,ponce.inter.edu
Inter American University Of Puerto Rico San German,intersg.edu
Iona College,iona.edu
Iowa State University,iastate.edu
Iowa Wesleyan University,iw.edu
IPFW,ipfw.edu
Ithaca College,ithaca.edu
IUPUI,iupui.edu
Jackson State University,jsums.edu
Jacksonville State University,jsu.edu
Jacksonville University,ju.edu
Jacksonville University,ju.edu
Jacobs University Bremen,jacobs-university.de
James Madison University,jmu.edu
Jarvis Christian College,jarvis.edu
Jefferson College Health Sciences,jchs.edu
Jefferson Philadelphia University Thomas Jefferson University,philau.edu
John Brown University,jbu.edu
John Cabot University Rome,johncabot.edu
